## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam/SRR7657895.insert_size.pdf INPUT=bam/SRR7657895.sorted.bam OUTPUT=bam/SRR7657895.insert_size.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 10 09:18:58 GMT 2021
# This is a fake metrics file for the sake of having some bad QC

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
265	252	39	142	157955426	266.616654	64.549677	26148828	FR	15	29	45	61	79	101	129	173	593	3349	19751	NA	NA	NA

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
142	4
143	3
144	5
145	9
146	17
147	29
148	68
149	251
150	16865
151	26432
152	27059
153	27831
154	27447
155	28772
156	29279
157	29937
158	30411
159	31046
160	28060
161	29052
162	29680
163	30560
164	31666
165	32653
166	34059
167	34637
168	35926
169	37554
170	38656
171	39677
172	41806
173	42649
174	43873
175	44901
176	46676
177	48188
178	50074
179	51818
180	53137
181	54501
182	56084
183	58578
184	60456
185	61535
186	63636
187	65601
188	67640
189	69216
190	72319
191	74247
192	76143
193	78543
194	80693
195	82829
196	85392
197	87367
198	89286
199	92408
200	94954
201	97924
202	100579
203	103199
204	104530
205	107663
206	110226
207	112550
208	116386
209	119132
210	121885
211	123052
212	127081
213	129768
214	132042
215	133691
216	135759
217	141476
218	143079
219	143711
220	148276
221	150292
222	152808
223	156786
224	158024
225	160720
226	162419
227	165968
228	166090
229	168404
230	170202
231	171861
232	174933
233	176156
234	177130
235	180218
236	179805
237	180022
238	183622
239	183611
240	185474
241	188144
242	187900
243	186669
244	189754
245	188692
246	189472
247	190282
248	190138
249	189733
250	191205
251	191006
252	191961
253	191005
254	191711
255	191183
256	189937
257	188500
258	188013
259	187342
260	186688
261	185457
262	185296
263	186313
264	184866
265	182629
266	181287
267	180037
268	179548
269	178097
270	176267
271	175605
272	173508
273	172121
274	170336
275	169258
276	166798
277	165354
278	162883
279	160938
280	160125
281	157310
282	154745
283	152912
284	152244
285	150293
286	149589
287	146603
288	144512
289	142106
290	140721
291	137832
292	136568
293	134712
294	132370
295	130677
296	127365
297	125232
298	123559
299	120597
300	117226
301	115419
302	113786
303	110943
304	109047
305	105842
306	104087
307	101724
308	99646
309	97707
310	94951
311	92098
312	89994
313	88253
314	85968
315	83891
316	83133
317	80864
318	78985
319	76795
320	75182
321	72957
