## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam/SRR7657893.insert_size.pdf INPUT=bam/SRR7657893.sorted.bam OUTPUT=bam/SRR7657893.insert_size.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 10 09:18:58 GMT 2021
# This is a fake metrics file for the sake of having some bad QC

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
265	252	39	142	157955426	266.616654	64.549677	26870116	FR	15	29	45	61	79	101	129	173	593	3349	19751	NA	NA	NA

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
142	4
143	3
144	5
145	9
146	18
147	29
148	70
149	257
150	17330
151	27162
152	27805
153	28599
154	28204
155	29566
156	30087
157	30763
158	31250
159	31903
160	28834
161	29853
162	30498
163	31403
164	32539
165	33553
166	34999
167	35592
168	36917
169	38590
170	39722
171	40772
172	42959
173	43826
174	45083
175	46140
176	47964
177	49517
178	51455
179	53247
180	54603
181	56004
182	57631
183	60194
184	62124
185	63232
186	65391
187	67410
188	69505
189	71125
190	74313
191	76295
192	78243
193	80709
194	82919
195	85113
196	87748
197	89777
198	91749
199	94957
200	97573
201	100625
202	103354
203	106046
204	107414
205	110633
206	113266
207	115654
208	119596
209	122418
210	125247
211	126446
212	130587
213	133347
214	135684
215	137379
216	139504
217	145378
218	147026
219	147676
220	152366
221	154438
222	157023
223	161111
224	162382
225	165153
226	166900
227	170546
228	170672
229	173050
230	174897
231	176602
232	179758
233	181015
234	182016
235	185189
236	184764
237	184988
238	188687
239	188675
240	190590
241	193334
242	193083
243	191818
244	194989
245	193897
246	194699
247	195531
248	195383
249	194967
250	196479
251	196275
252	197257
253	196274
254	196999
255	196457
256	195176
257	193699
258	193199
259	192509
260	191837
261	190573
262	190408
263	191452
264	189965
265	187666
266	186288
267	185003
268	184500
269	183010
270	181129
271	180449
272	178294
273	176869
274	175035
275	173927
276	171399
277	169915
278	167376
279	165377
280	164542
281	161649
282	159013
283	157130
284	156443
285	154439
286	153716
287	150647
288	148498
289	146026
290	144603
291	141633
292	140335
293	138428
294	136022
295	134282
296	130878
297	128687
298	126967
299	123924
300	120460
301	118603
302	116925
303	114003
304	112055
305	108762
306	106958
307	104530
308	102395
309	100402
310	97570
311	94639
312	92476
313	90688
314	88339
315	86205
316	85426
317	83094
318	81164
319	78913
320	77255
321	74970
